title,price,area,bath,room,tipo,city
Apartment in New York,82692800,744.0,7.0,6.0,Apartment,New York
Apartment in New York,72999000,748.0,6.0,6.0,Apartment,New York
Residential complexes in New York,69414500,1010.0,6.0,3.0,Residential complexes,New York
Apartment in New York,60795100,663.0,6.0,4.0,Apartment,New York
Apartment in New York,60159200,510.0,3.0,3.0,Apartment,New York
Townhouse in New York,60159200,1114.0,10.0,8.0,Townhouse,New York
Apartment in New York,60159200,590.0,6.0,5.0,Apartment,New York
Apartment in New York,59233700,1841.0,14.0,11.0,Apartment,New York
Apartment in New York,59193300,586.0,5.0,4.0,Apartment,New York
Apartment in New York,59062500,741.0,4.0,4.0,Apartment,New York
Apartment in New York,56979900,769.0,7.0,5.0,Apartment,New York
Townhouse in New York,55531600,1316.0,10.0,7.0,Townhouse,New York
Apartment in New York,55409000,500.0,6.0,7.0,Apartment,New York
Residential complexes in New York,54606100,1127.0,4.0,3.0,Residential complexes,New York
Apartment in New York,52755000,662.0,5.0,4.0,Apartment,New York
Apartment in New York,46954400,585.0,5.0,4.0,Apartment,New York
Apartment in New York,46271700,500.0,4.0,4.0,Apartment,New York
Townhouse in New York,44888000,1003.0,11.0,6.0,Townhouse,New York
Apartment in New York,44425300,683.0,6.0,5.0,Apartment,New York
Apartment in New York,42993200,579.0,4.0,4.0,Apartment,New York
Apartment in New York,43041600,614.0,4.0,4.0,Apartment,New York
Apartment in New York,42634900,400.0,3.0,3.0,Apartment,New York
Townhouse in New York,41648700,2113.0,14.0,10.0,Townhouse,New York
Apartment in New York,38872100,672.0,7.0,5.0,Apartment,New York
Apartment in New York,37021100,898.0,6.0,5.0,Apartment,New York
Apartment in New York,37021100,696.0,6.0,5.0,Apartment,New York
Residential complexes in New York,37021100,421.0,7.0,5.0,Residential complexes,New York
Apartment in New York,36974800,685.0,5.0,5.0,Apartment,New York
Apartment in New York,35170000,975.0,7.0,4.0,Apartment,New York
Apartment in New York,35170000,492.0,3.0,4.0,Apartment,New York
Residential complexes in New York,32393400,549.0,6.0,4.0,Residential complexes,New York
Luxury home in New York,32393400,877.0,8.0,5.0,Luxury home,New York
Apartment in New York,31467900,836.0,6.0,5.0,Apartment,New York
Apartment in New York,30079600,674.0,6.0,4.0,Apartment,New York
Residential complexes in New York,29616900,579.0,7.0,4.0,Residential complexes,New York
Apartment in New York,27765800,400.0,3.0,3.0,Apartment,New York
Apartment in New York,27742700,428.0,5.0,4.0,Apartment,New York
Townhouse in New York,27719500,812.0,13.0,10.0,Townhouse,New York
Residential complexes in New York,27719500,605.0,8.0,7.0,Residential complexes,New York
Apartment in New York,27580700,599.0,6.0,5.0,Apartment,New York
Apartment in New York,27571400,615.0,4.0,4.0,Apartment,New York
Apartment in New York,26933300,479.0,7.0,4.0,Apartment,New York
Luxury home in New York,26423800,533.0,5.0,6.0,Luxury home,New York
Apartment in New York,25729600,441.0,4.0,4.0,Apartment,New York
Townhouse in New York,25452000,959.0,9.0,7.0,Townhouse,New York
Luxury home in New York,24063700,552.0,7.0,5.0,Luxury home,New York
Apartment in New York,23138200,430.0,5.0,4.0,Apartment,New York
Apartment in New York,23133500,452.0,4.0,4.0,Apartment,New York
Apartment in New York,23128900,607.0,6.0,4.0,Apartment,New York
Apartment in New York,23115000,636.0,6.0,5.0,Apartment,New York
Apartment in New York,22675400,505.0,6.0,5.0,Apartment,New York
Penthouse in New York,22712400,313.0,3.0,3.0,Penthouse,New York
Apartment in New York,22675400,570.0,5.0,5.0,Apartment,New York
Apartment in New York,22212600,452.0,5.0,4.0,Apartment,New York
Apartment in New York,20963200,578.0,4.0,4.0,Apartment,New York
Residential complexes in New York,20361600,464.0,6.0,4.0,Residential complexes,New York
Apartment in New York,20361600,2787.0,5.0,5.0,Apartment,New York
Apartment in New York,19436100,390.0,3.0,3.0,Apartment,New York
Apartment in New York,19436100,419.0,5.0,4.0,Apartment,New York
Residential complexes in New York,18973300,309.0,5.0,4.0,Residential complexes,New York
Apartment in New York,18510500,380.0,4.0,4.0,Apartment,New York
Residential complexes in New York,18510500,503.0,5.0,5.0,Residential complexes,New York
"Apartment in Miami, Miami-Dade",54606100,1845.0,7.0,7.0,Apartment,Miami
"Residential complexes in Miami, Miami-Dade",54606100,1828.0,8.0,7.0,Residential complexes,Miami
"Luxury home in Miami, Miami-Dade",54606100,2543.0,8.0,7.0,Luxury home,Miami
"Penthouse in Miami, Miami-Dade",46276300,943.0,7.0,4.0,Penthouse,Miami
"Apartment in Miami, Miami-Dade",45350800,1637.0,6.0,6.0,Apartment,Miami
"Apartment in Miami, Miami-Dade",43221100,500.0,5.0,5.0,Apartment,Miami
"Penthouse in Miami, Miami-Dade",37021100,1120.0,6.0,6.0,Penthouse,Miami
"Residential complexes in Miami, Miami-Dade",36928500,66.0,1.0,1.0,Residential complexes,Miami
"Penthouse in Miami, Miami-Dade",32736300,947.0,8.0,7.0,Penthouse,Miami
"Penthouse in Miami, Miami-Dade",32000000,1000.0,7.0,7.0,Penthouse,Miami
